# epoch, train_loss, train_acc, train_time, val_loss, val_acc, val_time
1.000, 0.729, 0.632, 11.463, 0.526, 0.739, 0.564
2.000, 0.574, 0.712, 6.290, 0.298, 0.913, 0.453
3.000, 0.198, 0.933, 6.423, 0.224, 0.957, 0.470
4.000, 0.071, 0.982, 6.430, 0.200, 0.957, 0.457
5.000, 0.034, 0.988, 6.405, 0.184, 1.000, 0.463
6.000, 0.011, 0.994, 6.398, 0.185, 0.957, 0.452
7.000, 0.002, 1.000, 6.381, 0.103, 0.957, 0.460
8.000, 0.001, 1.000, 6.384, 0.133, 1.000, 0.459
9.000, 0.000, 0.773, 6.442, 0.000, 0.739, 0.461
10.000, 0.000, 0.663, 6.427, 0.000, 0.739, 0.462
11.000, 0.000, 0.663, 6.415, 0.000, 0.739, 0.429
12.000, 0.000, 0.663, 6.430, 0.000, 0.739, 0.448
13.000, 0.000, 0.663, 6.365, 0.000, 0.739, 0.462
14.000, 0.000, 0.663, 6.426, 0.000, 0.739, 0.459
15.000, 0.000, 0.663, 6.361, 0.000, 0.739, 0.431
16.000, 0.000, 0.663, 6.372, 0.000, 0.739, 0.457
17.000, 0.000, 0.663, 6.412, 0.000, 0.739, 0.452
18.000, 0.000, 0.663, 6.383, 0.000, 0.739, 0.436
19.000, 0.000, 0.663, 6.391, 0.000, 0.739, 0.465
20.000, 0.000, 0.663, 6.412, 0.000, 0.739, 0.467
# Test [loss accu time], 0.257119, 0.916667, 0.700091
